FID,Project,StationName,TripCode,TripDate_UTC,SampleTime_Local,Latitude,Longitude,SecchiDepth_m,SampleDepth_m,SampleID,Salinity,Salinity_flag,DIC_umolkg,DIC_flag,Alkalinity_umolkg,Alkalinity_flag,Oxygen_umolL,Oxygen_flag,Ammonium_umolL,Ammonium_flag,Nitrate_umolL,Nitrate_flag,Nitrite_umolL,Nitrite_flag,Phosphate_umolL,Phosphate_flag,Silicate_umolL,Silicate_flag,TSSorganic_mgL,TSSinorganic_mgL,TSS_mgL,TSSall_flag,Prochlorococcus_cellsmL,Prochlorococcus_flag,Synechococcus_cellsmL,Synechococcus_flag,Picoeukaryotes_cellsmL,Picoeukaryotes_flag,Allo_mgm3,AlphaBetaCar_mgm3,Anth_mgm3,Asta_mgm3,BetaBetaCar_mgm3,BetaEpiCar_mgm3,Butfuco_mgm3,Cantha_mgm3,CphlA_mgm3,CphlB_mgm3,CphlC1_mgm3,CphlC2_mgm3,CphlC3_mgm3,CphlC1C2_mgm3,CphlideA_mgm3,Diadchr_mgm3,Diadino_mgm3,Diato_mgm3,Dino_mgm3,DvCphlA+CphlA_mgm3,DvCphlA_mgm3,DvCphlB+CphlB_mgm3,DvCphlB_mgm3,Echin_mgm3,Fuco_mgm3,Gyro_mgm3,Hexfuco_mgm3,Ketohexfuco_mgm3,Lut_mgm3,Lyco_mgm3,MgDvp_mgm3,Neo_mgm3,Perid_mgm3,PhideA_mgm3,PhytinA_mgm3,PhytinB_mgm3,Pras_mgm3,PyrophideA_mgm3,PyrophytinA_mgm3,Viola_mgm3,Zea_mgm3,Pigments_flag,AustralianMicrobiomeId,geom
combined_bgc_data.fid--91f2adb_18488613260_11f2,NRS,North Stradbroke Island,NSI20090218,2009-02-18,2009-02-18 10:45:00,-27.345,153.562,14,WC,NSI20090218_WC,,,,,,,,,,,,,,,,,,,,,,,22927,1,35590,1,3428.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_11f3,NRS,North Stradbroke Island,NSI20090916,2009-09-16,2009-09-17 08:45:00,-27.345,153.562,19,0,NSI20090916_0,35.335,1,1991.11,1,2304.71,1,,9,0.09,1,0,1,,9,0.05,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_11f4,NRS,North Stradbroke Island,NSI20090916,2009-09-16,2009-09-17 08:45:00,-27.345,153.562,19,10,NSI20090916_10,35.339,1,1995.48,1,2306.18,1,,9,0.02,1,0.1,1,,9,0.06,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_11f5,NRS,North Stradbroke Island,NSI20090916,2009-09-16,2009-09-17 08:45:00,-27.345,153.562,19,20,NSI20090916_20,35.444,1,,9,,9,,9,0.36,1,0.1,1,,9,0.24,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_11f6,NRS,North Stradbroke Island,NSI20090916,2009-09-16,2009-09-17 08:45:00,-27.345,153.562,19,30,NSI20090916_30,35.525,1,2052.57,1,2318,1,,9,0.44,1,2.7,1,,9,0.28,1,1.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_11f7,NRS,North Stradbroke Island,NSI20090916,2009-09-16,2009-09-17 08:45:00,-27.345,153.562,19,40,NSI20090916_40,35.44,1,,9,,9,,9,0.21,1,1.9,1,,9,0.2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_11f8,NRS,North Stradbroke Island,NSI20090916,2009-09-16,2009-09-17 08:45:00,-27.345,153.562,19,50,NSI20090916_50,35.465,1,2074.71,1,2319.32,1,,9,0.43,1,3.9,1,,9,0.34,1,2.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_11f9,NRS,North Stradbroke Island,NSI20090916,2009-09-16,2009-09-17 08:45:00,-27.345,153.562,19,57,NSI20090916_57,35.457,1,2099.02,2,2322.42,1,,9,0.43,1,6.1,1,,9,0.48,1,2.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_11fa,NRS,North Stradbroke Island,NSI20090916,2009-09-16,2009-09-17 08:30:00,-27.345,153.562,19,WC,NSI20090916_WC,,,,,,,,,,,,,,,,,,,,,,,8227,1,16128.5,1,5843.5,1,0,0.006,0,0,,,0.023,0,0.209,0.042,0.007,0,0.022,,0.065,0,0.01,0.004,0,0.213,0.004,0.042,0,0,0.049,0,0.035,0,0.008,0,0,0.006,0,0,0,0,0.01,0,0,0.002,0.022,2,,POINT (153.562 -27.345)
combined_bgc_data.fid--91f2adb_18488613260_11fb,NRS,North Stradbroke Island,NSI20091006,2009-10-06,2009-10-07 09:22:00,-27.345,153.562,17,0,NSI20091006_0,,9,1988.35,1,2307.69,1,,9,0.22,1,0.1,1,,9,0.07,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (153.562 -27.345)
