Survey: in2022_v06
Deployment: 2
Start time: 15-Jul-2022 02:14:13
Bottom time: 15-Jul-2022 03:46:50
End time: 15-Jul-2022 05:43:26
Water depth: NaN
Pressure bin: 1
Max scans: 240000000000

DateTime,Pressure,"Primary Temperature","Primary Salinity","Secondary Temperature","Secondary Salinity","Primary SBE43 Oxygen","Secondary SBE43 Oxygen","PAR","Transmissometer","Fluorescence, WET Labs ECO-AFL/FL","Turbidity, WET Labs ECO BB","Wetlabs CDOM"
2022-07-15 02:14:13,8.5,22.028,35.480,22.027,35.480,218.25,219.13,NaN,98.25,0.207740003,0.000181802,-0.267889990
2022-07-15 02:14:14,9.0,22.028,35.480,22.028,35.480,218.46,219.05,287.98,98.25,0.206624578,0.000186987,-0.096444588
2022-07-15 02:14:16,10.0,22.028,35.481,22.028,35.480,218.50,219.03,279.17,98.23,0.204931609,0.000190291,-0.068068966
2022-07-15 02:14:21,11.0,22.028,35.481,22.028,35.480,218.45,218.92,258.39,98.24,0.213523324,0.000190423,-0.069778577
2022-07-15 02:14:26,12.0,22.028,35.481,22.028,35.480,218.39,218.80,237.48,98.24,0.222216967,0.000190543,-0.071542415
2022-07-15 02:14:31,13.0,22.028,35.481,22.028,35.480,218.33,218.68,216.56,98.25,0.230910611,0.000190663,-0.073306252
2022-07-15 02:14:36,14.0,22.028,35.481,22.027,35.480,218.27,218.56,195.64,98.25,0.239604255,0.000190783,-0.075070090
2022-07-15 02:14:41,15.0,22.028,35.481,22.027,35.480,218.22,218.44,174.72,98.25,0.248297899,0.000190903,-0.076833928
2022-07-15 02:14:47,16.0,22.028,35.481,22.027,35.480,218.16,218.32,153.80,98.26,0.256991542,0.000191023,-0.078597766
2022-07-15 02:14:52,17.0,22.028,35.481,22.027,35.481,218.10,218.20,132.89,98.26,0.265685186,0.000191143,-0.080361603
2022-07-15 02:14:56,18.0,22.027,35.481,22.027,35.480,218.17,218.11,120.03,98.27,0.277632048,0.000187937,-0.094488118
2022-07-15 02:15:00,19.0,22.026,35.481,22.026,35.480,218.26,218.41,128.90,98.27,0.297669224,0.000186515,-0.103249660
2022-07-15 02:15:02,20.0,22.025,35.482,22.026,35.481,218.18,218.15,102.81,98.25,0.308580898,0.000185661,-0.091392297
2022-07-15 02:15:04,21.0,22.021,35.483,22.025,35.481,218.36,218.24,96.07,98.26,0.317445941,0.000185749,-0.116967401
2022-07-15 02:15:06,22.0,22.023,35.482,22.023,35.481,218.79,218.26,83.42,98.26,0.322756941,0.000190173,-0.097757798
2022-07-15 02:15:09,23.0,22.023,35.482,22.023,35.481,218.52,218.42,79.85,98.27,0.339333939,0.000184318,-0.104677206
2022-07-15 02:15:12,24.0,22.020,35.483,22.020,35.482,218.33,218.40,75.06,98.25,0.336509121,0.000183171,-0.090101711
2022-07-15 02:15:14,25.0,22.021,35.483,22.020,35.482,218.24,218.29,70.22,98.26,0.340261461,0.000192638,-0.096498872
